category_id,name
0,Mediterranean
1,Tabletop Games
2,Mexican
3,Irish Pub
4,Kebab
5,Juice Bars & Smoothies
6,Breakfast & Brunch
7,Specialty Food
8,Coffee & Tea
9,Steakhouses
10,Tours
11,Arcades
12,Gay Bars
13,Donuts
14,Cajun/Creole
15,Indian
16,Brazilian
17,Cambodian
18,Party Supplies
19,Internet Cafes
20,Whiskey Bars
21,Chocolatiers & Shops
22,Dominican
23,Brasseries
24,Convenience Stores
25,American (Traditional)
26,Burgers
27,Grocery
28,Parks
29,Laotian
30,Massage
31,Nail Salons
32,Salad
33,Thai
34,Barbeque
35,Breweries
36,Szechuan
37,Buffets
38,Distilleries
39,Tapas Bars
40,Eatertainment
41,Country Clubs
42,Colombian
43,Tapas/Small Plates
44,Iberian
45,Custom Cakes
46,Event Planning & Services
47,Mongolian
48,Themed Cafes
49,Dim Sum
50,Cafes
51,Comfort Food
52,Brewpubs
53,Noodles
54,Afghan
55,Turkish
56,Street Vendors
57,Nutritionists
58,Lounges
59,Beer Gardens
60,Chicken Wings
61,Bakeries
62,Wraps
63,Speakeasies
64,Eyelash Service
65,Italian
66,Falafel
67,Spanish
68,Sports Bars
69,Ice Cream & Frozen Yogurt
70,Local Services
71,Canadian (New)
72,Soup
73,Irish
74,Pets
75,Arabic
76,Vietnamese
77,Cheese Shops
78,Kosher
79,Food Court
80,Hotels & Travel
81,Smokehouse
82,Gas Stations
83,German
84,Ethnic Food
85,Hot Dogs
86,Pop-Up Restaurants
87,Beauty & Spas
88,Music Venues
89,Cuban
90,Latin American
91,Automotive
92,Sushi Bars
93,Asian Fusion
94,Modern European
95,Health Markets
96,Hair Salons
97,Fitness & Instruction
98,Sandwiches
99,Coffee Roasteries
100,Desserts
101,Bars
102,Gelato
103,British
104,Bubble Tea
105,Ramen
106,Bowling
107,Wine Bars
108,Chicken Shop
109,Restaurants
110,Dance Clubs
111,Hawaiian
112,Vegetarian
113,Caribbean
114,Chinese
115,Shaved Ice
116,Pakistani
117,Cafeteria
118,Creperies
119,Pizza
120,Bartenders
121,Greek
122,Hotels
123,Portuguese
124,Pretzels
125,Live/Raw Food
126,Argentine
127,Tex-Mex
128,Resorts
129,Beer
130,Fruits & Veggies
131,Pasta Shops
132,Delis
133,Cocktail Bars
134,Food Trucks
135,Tacos
136,Recycling Center
137,Gluten-Free
138,Waffles
139,Southern
140,Jazz & Blues
141,Pancakes
142,Fast Food
143,Japanese
144,Lebanese
145,Arts & Entertainment
146,Food Delivery Services
147,Caterers
148,Hookah Bars
149,Nightlife
150,Vegan
151,Day Spas
152,Middle Eastern
153,Tea Rooms
154,Food
155,Cantonese
156,Soul Food
157,Cheesesteaks
158,Wine & Spirits
159,Imported Food
160,Venues & Event Spaces
161,Peruvian
162,Diners
163,Poke
164,Health & Medical
165,Salvadoran
166,Fondue
167,Active Life
168,Egyptian
169,Piano Bars
170,Boat Charters
171,Bagels
172,Moroccan
173,Gyms
174,Shopping
175,Gastropubs
176,Halal
177,Cupcakes
178,Filipino
179,Beer Bar
180,Seafood
181,Local Flavor
182,Organic Stores
183,Seafood Markets
184,American (New)
185,Czech
186,Food Stands
187,Golf
188,Wine Tours
189,Butcher
190,Japanese Curry
191,Taiwanese
192,Cultural Center
193,Pet Adoption
194,Festivals
195,French
196,Karaoke
197,Pubs
198,Boating
199,Korean
200,New Mexican Cuisine
201,Personal Chefs
202,African
203,Dive Bars
